video_id,f1_sharpness,f1_brightness,f1_saturation,f2_sharpness,f2_brightness,f2_saturation,f3_sharpness,f3_brightness,f3_saturation,f4_sharpness,f4_brightness,f4_saturation,f5_sharpness,f5_brightness,f5_saturation
VIDEO_7067578500101803269,759.95,144.5,55.75,728.96,133.39,61.47,250.89,132.55,63.53,0.0,0.0,0.0,,,
VIDEO_7067623396279930117,274.25,130.8,110.16,276.2,133.0,106.48,,,,,,,,,
VIDEO_7067959925141474565,796.23,134.6,122.46,15.53,101.47,157.97,29.44,98.56,101.17,5.86,128.91,98.6,,,
VIDEO_7067985901011373317,392.66,122.36,124.25,389.46,112.83,145.81,346.84,98.39,187.68,485.73,121.71,137.61,378.29,107.86,172.77
VIDEO_7068298283386506502,206.49,126.26,120.82,254.65,134.65,117.08,,,,,,,,,
VIDEO_7068640088774741254,1071.02,145.4,31.6,906.21,139.45,49.31,991.79,141.95,48.26,768.14,148.35,33.49,,,
VIDEO_7068682786437139718,276.31,133.09,50.12,232.29,125.24,50.52,,,,,,,,,
VIDEO_7068731699701484806,217.44,47.08,106.73,283.88,86.17,74.87,274.66,124.19,58.24,312.3,45.64,90.0,211.73,46.51,66.81
VIDEO_7069326966159084806,289.44,123.54,77.29,253.81,118.82,87.5,,,,,,,,,
VIDEO_7069799098576112901,461.18,169.89,92.04,445.63,169.89,92.03,,,,,,,,,
VIDEO_7069805338601606406,51.21,153.81,49.94,51.43,157.93,51.21,,,,,,,,,
VIDEO_7069844079122599173,708.57,194.24,18.99,216.42,142.69,45.13,315.26,132.63,59.03,50.83,127.97,55.93,287.6,162.38,55.85
VIDEO_7070162555695615237,266.85,149.69,61.82,213.96,148.12,61.88,,,,,,,,,
VIDEO_7070176633931549958,245.86,109.87,58.58,279.92,110.0,43.32,200.61,100.56,54.31,,,,,,
VIDEO_7070218376328563973,7.6,112.18,102.93,7.27,120.32,90.37,8.63,112.79,89.43,8.39,112.73,109.66,,,
VIDEO_7070486062182731013,463.64,116.36,133.28,480.42,116.19,133.58,,,,,,,,,
VIDEO_7070550742880292101,235.14,121.02,41.36,264.85,120.83,50.41,,,,,,,,,
VIDEO_7070569241413422342,49.66,123.67,52.94,51.87,121.6,53.85,,,,,,,,,
VIDEO_7070907935722917126,465.83,158.13,61.89,1024.79,132.41,53.43,414.26,99.23,140.06,847.75,138.94,47.49,451.91,128.11,110.91
VIDEO_7071272326746230021,263.2,54.1,37.14,259.86,83.59,24.33,269.86,42.96,18.52,295.21,114.81,21.31,61.66,53.84,36.55
VIDEO_7071272731286834437,762.9,107.0,102.46,767.65,103.6,106.26,,,,,,,,,
VIDEO_7071521897082621189,831.16,135.02,49.49,264.78,182.23,46.51,311.01,180.77,47.47,357.9,159.35,34.06,426.8,200.17,14.15
VIDEO_7072060893818899717,413.62,133.75,57.57,422.53,138.7,50.16,422.63,149.95,51.47,521.52,132.94,47.65,697.8,140.58,50.19
VIDEO_7072415750589254918,409.48,191.54,22.95,1158.99,188.13,26.34,,,,,,,,,
VIDEO_7072437259127098630,604.05,128.56,86.95,599.58,124.71,81.05,,,,,,,,,
VIDEO_7072774694214044934,13.36,116.3,61.39,377.64,99.64,102.12,333.4,100.1,102.08,102.16,122.8,42.99,56.5,121.92,54.72
VIDEO_7072780188018380038,89.22,92.11,41.98,59.24,96.12,40.47,90.93,97.42,44.33,69.32,114.16,46.23,39.56,78.98,91.26
VIDEO_7073146702995279110,517.8,127.87,82.48,540.02,130.14,76.98,421.7,132.14,73.18,185.01,114.65,92.3,292.08,125.54,66.39
VIDEO_7073157554024566021,114.81,131.68,118.14,270.58,134.46,111.45,,,,,,,,,
VIDEO_7073510812542913798,416.61,127.3,72.14,371.43,124.28,73.03,,,,,,,,,
VIDEO_7073511726888635653,244.74,103.82,99.8,142.06,115.18,94.86,,,,,,,,,
VIDEO_7073513732395044102,68.15,127.17,118.65,61.9,115.24,125.25,50.15,108.43,157.35,152.17,100.93,187.79,442.32,141.92,66.35
VIDEO_7073547434244328709,31.36,110.86,133.01,39.59,111.72,131.34,,,,,,,,,
VIDEO_7073906588079246598,96.52,163.38,67.6,66.82,170.57,66.37,535.45,153.94,47.69,1188.94,151.75,53.27,187.79,117.92,36.21
VIDEO_7073916316566031622,136.87,133.44,110.14,171.82,117.8,133.55,551.57,102.64,143.76,198.75,125.15,121.2,,,
VIDEO_7074644027190103302,335.82,154.06,59.68,289.26,155.43,59.61,266.14,162.07,71.59,114.45,155.28,70.96,,,
VIDEO_7074987594026700038,353.99,134.22,42.61,520.16,186.47,18.79,410.68,172.25,52.52,622.96,135.34,100.39,300.89,156.99,62.43
VIDEO_7075005822228499717,241.37,145.49,58.82,230.74,112.8,67.52,332.12,175.75,33.71,166.89,100.63,96.66,277.49,146.23,84.39
VIDEO_7075406881111444742,482.73,124.71,92.28,555.57,137.57,37.77,589.86,146.35,38.81,62.9,151.24,42.87,,,
VIDEO_7075734573933530373,151.81,144.1,49.45,103.9,111.94,68.49,152.71,124.68,60.43,225.05,125.28,79.33,,,
VIDEO_7075788593930816773,183.38,99.05,163.34,166.76,97.84,163.85,,,,,,,,,
VIDEO_7076131060420988165,248.17,145.54,94.78,829.07,194.61,18.87,331.44,149.75,88.65,456.54,109.42,84.07,242.44,100.84,50.37
VIDEO_7076134412487855366,194.77,132.03,82.42,106.23,86.75,116.42,,,,,,,,,
VIDEO_7076423248698690822,503.31,135.06,42.06,378.71,143.06,34.79,258.26,195.34,41.01,252.47,156.16,48.14,372.55,133.87,51.84
VIDEO_7076502785742720261,403.42,153.1,64.25,405.38,153.58,64.33,352.01,147.02,72.1,93.47,118.04,68.24,39.72,111.82,62.13
VIDEO_7076526059344104709,62.66,107.47,73.04,46.4,114.93,61.4,,,,,,,,,
VIDEO_7077571361660521733,160.42,226.85,11.87,152.64,225.96,12.68,17.21,193.33,22.12,9.18,123.29,104.94,16.17,152.72,72.03
VIDEO_7077597321667546373,243.76,133.99,84.15,230.88,135.18,77.67,121.88,126.64,73.12,153.61,176.3,60.88,49.17,115.3,126.11
VIDEO_7077597820538146053,143.61,183.04,48.78,148.44,180.97,51.02,312.06,178.15,54.74,15.95,133.03,74.93,193.56,160.33,31.73
VIDEO_7078216427131473157,1236.01,134.89,107.53,1351.4,133.2,111.53,,,,,,,,,
VIDEO_7078227199463066886,193.8,149.28,100.46,187.37,153.2,95.38,,,,,,,,,
VIDEO_7078325137698770181,289.12,68.37,114.9,282.67,66.62,114.12,159.51,93.4,96.53,,,,,,
VIDEO_7078352231413697797,279.66,144.95,72.43,316.91,143.46,72.16,,,,,,,,,
VIDEO_7079069070078889221,402.8,151.57,77.62,340.29,172.01,17.12,340.4,130.15,87.81,310.56,126.1,99.73,280.0,134.36,96.35
VIDEO_7079071645771500806,526.39,143.17,86.06,514.99,153.11,72.3,,,,,,,,,
VIDEO_7079095510904229126,436.08,151.5,65.02,389.16,146.59,65.77,,,,,,,,,
VIDEO_7079418950315969798,648.58,145.15,89.71,668.33,145.52,88.55,633.98,123.65,81.99,798.03,145.05,76.58,655.17,124.51,66.48
VIDEO_7079814734664436998,655.45,114.11,90.16,664.56,115.21,90.56,396.87,115.62,83.81,640.12,113.86,86.72,579.66,119.7,85.32
VIDEO_7079836018203020549,457.19,26.86,160.01,471.47,25.34,171.69,,,,,,,,,
VIDEO_7080140185001938181,132.95,163.77,64.39,147.56,163.68,64.12,,,,,,,,,
VIDEO_7080188060561837318,96.37,131.09,109.39,3.7,123.3,109.98,209.37,134.96,120.68,29.45,201.24,18.03,94.01,90.15,187.94
VIDEO_7080535307816291589,429.07,90.99,143.16,710.05,158.63,42.36,675.15,158.78,43.02,519.27,93.69,133.18,,,
VIDEO_7080545682058169605,37.09,126.23,84.05,37.94,129.92,79.82,,,,,,,,,
VIDEO_7080583186522098949,214.32,112.49,48.37,228.29,113.85,47.35,,,,,,,,,
VIDEO_7080915608727997701,308.5,103.03,42.8,304.98,100.47,45.15,,,,,,,,,
VIDEO_7081140277083213062,266.48,179.98,45.4,280.96,173.4,48.18,286.86,159.51,37.24,,,,,,
VIDEO_7081276473687985413,215.68,139.12,53.6,233.49,140.53,50.96,,,,,,,,,
VIDEO_7081323710442917125,187.91,151.07,89.77,226.95,143.13,94.77,163.33,163.22,40.01,234.28,152.3,67.24,514.76,134.09,57.86
VIDEO_7081701013891157253,212.98,129.91,49.94,339.68,129.99,32.66,,,,,,,,,
VIDEO_7081711774084484358,69.6,151.57,26.18,59.75,155.77,28.1,70.62,144.27,31.03,35.59,162.22,44.67,,,
VIDEO_7082037036730813701,350.69,151.42,42.91,148.31,147.93,60.49,146.05,149.96,59.23,87.37,153.41,48.24,35.56,141.96,98.37
VIDEO_7082286078417259782,164.89,112.51,102.14,161.68,113.55,100.25,,,,,,,,,
VIDEO_7082386924677205253,207.93,124.11,72.55,124.7,138.03,63.25,,,,,,,,,
VIDEO_7082772534126513414,227.21,115.33,105.52,213.83,113.97,108.52,,,,,,,,,
VIDEO_7082815811529805062,499.95,111.22,141.66,528.31,111.07,142.64,554.46,132.58,122.86,,,,,,
VIDEO_7083155569812589829,200.45,125.94,112.06,116.04,131.77,98.61,,,,,,,,,
VIDEO_7083159832185933061,270.06,115.15,110.45,275.47,111.45,117.43,293.47,106.55,126.68,265.52,155.8,62.18,253.68,137.15,120.77
VIDEO_7083526112558517510,527.88,143.9,59.24,565.36,154.49,58.02,634.57,142.17,67.0,623.15,148.44,51.87,585.17,156.01,51.84
VIDEO_7083882172154645765,1248.47,117.73,47.47,1310.67,120.6,48.41,,,,,,,,,
VIDEO_7083930192657353990,22.66,120.47,90.76,89.92,114.36,110.75,42.44,130.68,51.27,88.46,149.76,87.59,28.15,116.05,146.68
VIDEO_7084552539126926597,8.13,79.85,93.85,10.74,70.04,75.57,8.77,53.61,138.3,10.37,68.96,82.75,8.05,50.94,147.97
VIDEO_7084890005491010821,504.49,141.49,82.34,509.35,142.0,78.12,,,,,,,,,
VIDEO_7085367737178000646,227.45,98.42,120.59,360.34,112.93,97.93,352.54,110.65,98.32,548.52,123.99,100.45,691.52,146.3,39.54
VIDEO_7085404371671846150,434.47,148.11,65.12,508.66,144.26,76.1,427.45,193.73,40.18,2046.29,168.23,41.82,,,
VIDEO_7085631257542954246,1669.46,93.6,55.78,773.28,95.6,55.23,1693.61,110.62,63.75,1067.52,104.28,104.34,,,
VIDEO_7085748815449312517,8.73,90.36,112.48,20.55,73.95,116.54,34.28,73.99,116.9,22.28,83.72,121.32,43.25,23.32,103.7
VIDEO_7086111451965869317,726.68,108.41,114.56,803.96,106.75,116.5,527.78,87.12,84.75,1457.64,106.5,104.46,609.97,113.47,77.71
VIDEO_7086144769222511877,690.03,194.48,19.08,360.5,142.31,45.45,399.62,132.18,59.24,180.36,127.79,56.12,562.06,161.8,56.41
VIDEO_7086527236471311622,595.98,150.18,53.4,425.39,139.62,77.29,516.24,142.09,76.51,342.33,132.5,126.83,142.07,166.09,87.77
VIDEO_7087592356664315141,769.15,156.9,39.05,539.94,153.7,45.37,390.36,99.81,80.65,479.4,152.39,48.84,602.12,171.72,37.9
VIDEO_7087653844863208709,339.55,106.72,46.64,477.6,91.58,83.14,407.56,55.32,114.62,712.62,110.54,73.16,302.74,60.43,128.24
VIDEO_7087822626005060870,341.12,135.13,80.91,349.02,139.37,75.87,,,,,,,,,
VIDEO_7087984641864502534,188.86,128.54,125.82,401.95,113.13,141.26,461.16,130.94,95.79,526.6,127.45,99.15,448.53,112.64,151.09
VIDEO_7088619536202648837,3254.1,115.19,77.05,1425.53,111.47,76.4,,,,,,,,,
VIDEO_7088705916027063557,379.95,186.32,19.05,370.91,187.35,18.12,127.15,196.43,18.31,,,,,,
VIDEO_7090931568486763781,117.9,157.24,45.36,120.52,159.96,45.53,72.99,164.41,42.83,98.33,176.73,47.73,142.76,169.54,48.6
VIDEO_7091569180054490373,758.54,146.46,66.65,550.39,157.51,53.26,444.84,145.58,68.12,604.25,119.04,133.75,296.32,135.65,96.0
VIDEO_7093581650163944709,158.96,143.44,92.52,158.67,142.07,97.84,,,,,,,,,
VIDEO_7093804812864670981,757.74,85.37,37.6,1443.78,81.2,41.06,,,,,,,,,
VIDEO_7093894381794512133,2463.25,115.04,61.14,1343.83,122.52,44.76,1541.76,118.81,54.33,645.09,130.39,54.85,,,
VIDEO_7094149805496159494,264.2,127.71,76.88,259.91,123.51,82.38,277.44,133.83,97.28,518.21,126.84,119.0,59.25,152.51,69.32
VIDEO_7094187420819803398,418.12,151.79,67.5,428.61,150.1,69.04,,,,,,,,,
VIDEO_7094270154275605765,443.2,139.49,58.36,349.02,123.33,76.89,32.28,90.33,64.23,194.55,103.94,68.74,58.29,133.94,57.99
VIDEO_7095721528142155014,192.11,142.33,44.77,182.82,146.11,46.99,1767.43,164.6,125.34,884.96,184.74,50.72,72.47,81.31,107.71
VIDEO_7095777172513721605,197.49,150.64,44.88,149.36,165.28,50.06,,,,,,,,,
VIDEO_7096121724990655749,300.99,149.75,41.64,477.49,144.69,41.46,285.01,137.74,47.92,526.93,122.55,63.73,464.42,119.18,63.7
VIDEO_7096387117462359302,227.19,111.25,174.51,224.78,102.01,172.9,44.78,136.22,243.37,,,,,,
VIDEO_7098701138203069702,583.02,130.13,90.97,567.84,128.17,92.85,,,,,,,,,
VIDEO_7099406976437718278,19.14,169.75,61.04,62.02,112.64,79.17,187.3,181.61,21.71,304.08,164.84,47.6,41.15,217.14,27.86
VIDEO_7100934148864494854,1218.16,118.57,167.26,1335.46,123.2,159.82,,,,,,,,,
VIDEO_7101649191662882053,230.15,117.91,78.57,192.22,120.49,79.0,,,,,,,,,
VIDEO_7101685930276293894,136.72,143.09,82.5,194.84,143.36,87.92,483.42,182.9,47.57,190.17,167.79,41.26,626.61,72.1,143.47
VIDEO_7103816728982916357,350.56,126.68,111.11,345.33,125.75,111.84,412.27,128.08,110.02,140.8,88.56,161.02,0.0,0.0,0.0
VIDEO_7104552926231743749,125.46,110.94,81.93,451.46,79.3,85.55,152.44,178.43,52.11,144.27,115.81,94.24,668.16,130.25,96.5
VIDEO_7107270367303044358,268.43,126.51,83.05,34.28,96.56,62.14,81.12,100.32,65.35,13.01,150.15,103.05,59.44,115.35,52.34
VIDEO_7107863534549110022,383.64,116.77,105.3,353.57,118.17,99.21,,,,,,,,,
VIDEO_7108626212104178949,419.71,134.33,68.34,263.31,129.69,63.03,,,,,,,,,
VIDEO_7108997263912979717,529.36,102.71,180.62,1270.14,105.26,181.69,,,,,,,,,
VIDEO_7110099088661548293,478.22,118.51,115.41,517.9,115.83,117.87,,,,,,,,,
VIDEO_7111254884971744518,313.63,152.05,77.62,333.12,144.08,79.96,366.4,133.83,83.78,462.86,54.45,123.4,159.96,99.88,92.11
VIDEO_7111379317900332293,568.36,124.08,89.32,572.52,123.44,92.89,,,,,,,,,
VIDEO_7112440653350571269,942.91,115.83,87.92,305.74,123.63,99.5,68.73,122.08,92.0,1392.16,118.69,107.1,1604.92,116.51,111.41
VIDEO_7113472331917298949,627.38,118.8,80.52,575.96,118.03,80.75,715.56,116.99,80.8,1061.23,135.3,66.24,831.4,142.79,63.08
VIDEO_7113851055355596038,1432.61,120.45,129.35,729.65,106.69,144.06,,,,,,,,,
VIDEO_7114309168302984454,572.32,104.57,74.07,530.21,109.87,71.48,,,,,,,,,
VIDEO_7114675214583155973,283.81,148.06,57.17,263.53,147.6,56.28,387.96,135.64,58.0,,,,,,
VIDEO_7114705253899029765,294.6,100.79,127.39,501.08,166.05,82.63,557.51,177.16,73.51,195.58,91.19,141.64,153.46,174.14,66.59
VIDEO_7115325407318052102,122.53,115.89,169.22,110.11,115.1,165.91,,,,,,,,,
VIDEO_7116158724288400645,162.52,132.37,105.89,182.0,132.39,106.84,,,,,,,,,
VIDEO_7116439198285958405,2117.59,125.38,96.4,2252.62,124.66,96.14,1001.84,108.66,99.3,1007.6,104.77,146.86,1597.95,142.07,63.46
VIDEO_7120944943270530309,934.3,101.98,144.97,918.02,101.6,145.46,795.28,100.48,147.55,94.05,96.97,154.38,537.84,110.78,137.9
VIDEO_7122480993948159238,799.26,107.83,63.64,1088.19,121.59,64.69,943.82,118.42,77.14,463.66,125.34,76.32,,,
VIDEO_7123931386964184326,2630.9,122.74,103.87,954.75,123.64,91.73,597.13,128.77,81.13,898.76,129.16,89.38,271.66,123.38,87.84
VIDEO_7124374690520419590,22.94,175.16,64.48,26.81,175.45,63.55,1825.0,125.91,106.16,1310.11,122.86,107.41,,,
VIDEO_7124683160218029317,140.45,100.47,174.87,201.58,95.62,116.17,985.22,121.31,81.44,755.68,110.1,107.36,751.71,124.1,71.13
VIDEO_7125076892729756933,742.88,137.36,32.26,741.73,138.19,31.21,779.1,133.28,35.44,1162.77,136.8,36.15,,,
VIDEO_7125392158063955205,126.73,135.25,98.34,3.25,210.49,21.95,59.57,127.51,128.22,68.59,123.85,106.9,45.25,136.9,91.45
VIDEO_7125703838497131781,627.02,128.49,54.39,468.11,124.39,62.78,,,,,,,,,
VIDEO_7127182082568113413,307.31,128.38,24.64,165.77,128.8,25.2,,,,,,,,,
VIDEO_7128317775524777222,1154.68,99.47,96.16,980.42,101.99,96.49,407.79,99.87,133.61,1239.31,97.58,145.55,,,
VIDEO_7128322715894729989,1250.95,113.88,119.98,890.95,114.85,126.29,630.52,122.24,92.16,505.32,122.24,127.64,0.0,0.0,0.0
VIDEO_7128353863966444806,2271.82,136.67,71.37,1572.55,141.49,64.43,2078.06,129.18,112.4,43.42,134.42,89.87,1763.3,131.99,97.09
VIDEO_7129505006046170373,599.59,125.1,72.33,480.97,131.39,51.37,580.41,116.72,94.97,0.0,0.0,0.0,,,
VIDEO_7130169267454070021,319.0,108.71,94.83,185.87,108.73,93.91,131.0,97.73,131.97,209.15,112.66,117.22,197.59,113.31,128.93
VIDEO_7130612533437762821,44.45,120.01,70.94,53.96,121.47,72.19,206.92,128.83,100.15,,,,,,
VIDEO_7130620750842678533,495.93,106.12,130.06,480.96,105.97,132.24,473.29,105.67,133.66,809.24,138.86,63.23,,,
VIDEO_7130906655885102341,393.41,119.76,95.39,202.76,118.85,99.34,125.08,110.07,172.37,320.19,137.07,112.05,245.15,138.34,104.73
VIDEO_7132514036276628742,821.77,126.82,70.76,791.24,128.32,63.48,,,,,,,,,
VIDEO_7133481707449142533,77.7,152.29,69.91,76.73,152.22,71.02,2891.98,136.39,109.27,2260.3,141.01,63.48,592.45,139.77,99.86
VIDEO_7135716231218318597,69.4,96.78,111.94,60.42,99.55,102.45,,,,,,,,,
VIDEO_7137227107456879877,138.08,128.07,58.61,83.97,130.01,58.66,507.29,155.93,44.05,,,,,,
VIDEO_7137955446320565510,473.17,140.38,95.19,248.74,141.6,95.38,,,,,,,,,
VIDEO_7138043316087606533,876.83,132.2,92.13,942.12,132.95,91.82,890.43,134.31,91.72,492.78,119.42,106.24,659.78,147.03,65.74
VIDEO_7140150980246719750,587.76,122.19,87.83,407.65,122.33,85.63,200.32,118.35,87.13,81.36,0.72,2.2,,,
VIDEO_7140222885389536517,779.37,133.64,151.65,662.54,133.36,153.53,155.25,13.5,37.11,,,,,,
VIDEO_7141029212244233478,807.68,104.37,88.58,474.64,93.18,102.16,422.64,103.25,97.22,483.2,108.95,92.35,,,
VIDEO_7141370905153850629,896.64,106.27,133.27,863.68,106.96,129.13,,,,,,,,,
VIDEO_7141371845248437510,442.43,124.64,69.96,408.41,122.78,72.23,421.58,119.86,78.04,532.58,118.92,118.61,510.99,95.08,133.01
VIDEO_7142874586755976454,424.12,136.76,52.8,422.5,132.48,55.0,435.78,129.32,66.29,668.33,87.74,133.67,284.98,3.37,236.8
VIDEO_7143162692004482310,1898.51,124.61,76.27,2191.3,126.91,75.65,,,,,,,,,
VIDEO_7143175958978186502,1412.49,110.52,60.32,1231.14,111.4,64.85,,,,,,,,,
VIDEO_7143619564775968006,15.01,132.86,74.35,1217.72,127.23,77.96,,,,,,,,,
VIDEO_7145110811000835333,618.27,127.08,78.62,526.39,125.79,81.61,,,,,,,,,
VIDEO_7145813168818900229,202.98,122.77,54.84,278.13,112.7,61.94,237.6,119.38,54.46,901.18,109.73,120.39,,,
VIDEO_7146479472022277381,745.18,111.81,100.57,640.15,110.66,102.24,443.43,98.99,97.86,,,,,,
VIDEO_7146624079615790341,1852.34,97.65,131.1,1830.72,93.78,139.94,,,,,,,,,
VIDEO_7148719596487363845,1434.41,127.06,33.15,1368.82,128.39,34.5,,,,,,,,,
VIDEO_7150676745937587462,408.07,137.81,75.34,543.36,133.42,85.63,,,,,,,,,
VIDEO_7152911692282809606,274.96,104.25,125.07,155.75,109.84,145.0,253.1,114.16,146.89,143.0,144.09,67.08,,,
VIDEO_7153997940774882565,176.48,85.72,66.27,173.55,87.51,68.82,176.41,91.84,70.31,10.56,95.93,67.73,,,
VIDEO_7155814731897376006,336.92,190.42,75.09,344.09,190.24,75.32,242.51,187.74,69.1,442.15,108.41,118.2,466.0,109.72,116.12
VIDEO_7156562442829466886,570.68,172.33,64.95,461.09,121.1,113.16,490.53,120.24,96.91,468.28,113.12,90.12,218.03,85.04,137.32
VIDEO_7156608613346184454,137.01,138.17,25.31,92.81,145.01,25.12,122.18,147.64,26.65,18.61,109.61,40.22,66.58,168.3,17.89
VIDEO_7156614323194875141,143.67,115.58,60.89,115.07,110.22,62.0,131.81,110.65,60.97,190.71,125.87,53.6,206.66,109.83,81.31
VIDEO_7156881114106170630,216.05,41.81,62.69,214.23,82.1,133.6,219.29,116.23,73.56,257.94,145.46,105.78,,,
VIDEO_7157021341361753349,53.17,42.48,60.2,8.05,36.81,63.09,49.39,46.02,238.64,92.32,83.37,88.78,50.72,119.36,141.27
VIDEO_7158057918431120645,411.09,140.58,112.58,411.78,142.04,110.56,246.22,159.67,40.74,522.75,172.48,43.06,343.78,109.85,91.61
VIDEO_7158447069152300293,370.42,58.44,51.83,275.36,91.66,51.12,112.45,140.8,35.71,427.78,52.61,92.77,214.43,80.9,114.03
VIDEO_7158468268074749189,485.0,138.45,56.71,498.52,138.45,56.65,500.72,138.45,56.62,255.7,119.87,71.27,,,
VIDEO_7158890098770119942,55.54,95.74,87.79,32.27,92.77,87.48,24.97,97.22,84.75,16.6,95.39,143.03,,,
VIDEO_7159544328061275397,328.8,110.2,131.34,278.69,118.05,114.7,,,,,,,,,
VIDEO_7159621444312288517,28.71,122.33,60.32,161.96,86.44,113.34,470.64,121.91,98.84,376.63,118.62,108.34,152.83,147.14,35.78
VIDEO_7161307348827426053,389.47,153.36,48.37,702.28,152.54,49.06,,,,,,,,,
VIDEO_7161354120849427717,523.85,128.87,121.73,406.85,132.61,113.19,419.56,137.42,101.38,44.89,141.43,104.94,53.31,161.47,81.97
VIDEO_7161523791154236677,248.42,125.05,56.96,241.25,162.46,42.79,59.45,88.88,84.73,11.24,130.96,52.21,215.5,132.43,56.31
VIDEO_7161744414979771653,298.99,194.54,4.95,59.33,195.92,4.35,69.55,178.23,15.85,69.1,179.03,8.02,,,
VIDEO_7162123924233358598,231.77,132.49,44.11,219.53,133.33,42.15,,,,,,,,,
VIDEO_7162174902865251589,221.71,183.64,27.39,156.22,186.12,28.34,89.76,163.62,19.32,,,,,,
VIDEO_7162183685423385862,285.95,170.9,53.65,257.91,169.56,53.9,321.95,163.96,36.71,197.88,165.49,81.07,259.51,164.66,82.42
VIDEO_7162439514428919046,297.9,148.83,50.44,260.04,149.12,50.32,300.3,132.14,47.14,346.85,145.7,37.46,134.4,156.05,49.02
VIDEO_7163303756447223045,75.03,202.51,24.41,77.08,199.62,24.81,,,,,,,,,
VIDEO_7163552631053503749,33.41,99.92,138.13,519.61,95.12,140.61,,,,,,,,,
VIDEO_7163942959916895493,73.26,148.22,38.29,7.4,136.49,43.64,16.66,109.92,74.01,293.95,167.16,50.22,,,
VIDEO_7164397666472873222,2565.04,133.45,94.87,2326.7,134.66,85.38,3218.21,125.54,92.68,268.08,45.83,162.94,459.25,121.07,26.41
VIDEO_7164417550791494918,429.09,137.53,37.52,369.29,126.87,45.64,1024.79,90.29,126.59,504.29,114.95,104.24,688.11,154.0,105.28
VIDEO_7164769032430767365,420.08,131.02,51.89,226.15,162.29,41.63,102.05,165.0,57.61,0.0,0.0,0.0,,,
VIDEO_7164772525006720262,4200.96,115.45,71.72,3927.71,115.58,69.91,,,,,,,,,
VIDEO_7164792237543394566,35.26,97.51,104.96,162.81,93.55,114.24,,,,,,,,,
VIDEO_7165165100075093253,479.68,125.07,64.44,667.77,128.26,64.13,,,,,,,,,
VIDEO_7165886702580403462,116.68,141.69,83.61,31.74,171.1,80.33,38.86,174.04,84.53,140.26,165.21,79.77,,,
VIDEO_7165908407793372422,181.67,176.06,44.29,87.06,132.12,85.37,,,,,,,,,
VIDEO_7166637213604678917,335.33,131.4,52.61,227.18,128.95,52.53,221.49,102.38,70.61,170.06,145.98,115.07,175.06,103.83,83.99
VIDEO_7166666264092413190,20.11,89.81,163.88,149.56,91.95,162.38,,,,,,,,,
VIDEO_7167014945626787078,553.22,146.45,55.92,555.22,146.37,53.44,,,,,,,,,
VIDEO_7167292362857794821,1006.12,112.64,112.76,540.11,103.63,119.15,175.81,162.02,53.37,,,,,,
VIDEO_7167309818519227653,518.69,125.17,88.94,472.53,122.1,88.32,360.14,127.59,103.37,399.84,121.65,73.07,,,
VIDEO_7167386112040684805,189.96,155.93,24.27,186.83,151.0,25.49,,,,,,,,,
VIDEO_7168038506772679942,101.65,123.17,40.13,180.86,129.36,45.96,72.73,122.43,84.98,118.21,112.97,84.91,250.1,126.85,48.39
VIDEO_7168426884852747526,950.46,130.93,77.2,845.9,136.69,75.4,,,,,,,,,
VIDEO_7168916057166597382,2230.24,154.17,43.75,2248.07,155.62,42.13,843.4,196.97,30.48,,,,,,
VIDEO_7168935772777614597,124.34,141.1,56.71,52.25,161.03,70.4,,,,,,,,,
VIDEO_7169218120916208902,247.21,113.39,141.56,286.9,104.06,142.29,1283.05,99.6,97.01,1981.19,106.86,106.01,673.54,127.52,79.08
VIDEO_7169238545779952902,149.62,147.66,30.34,148.94,142.72,35.28,,,,,,,,,
VIDEO_7169948893805825285,7.69,188.86,47.95,5.93,190.33,44.06,107.91,193.79,23.52,40.66,152.46,81.52,,,
VIDEO_7170730138965970181,622.09,140.4,97.11,611.2,138.21,98.79,,,,,,,,,
VIDEO_7171408287785782533,918.87,137.39,46.99,824.7,144.08,44.41,811.22,145.69,52.39,1273.6,123.92,90.12,,,
VIDEO_7171449726158589189,503.04,195.17,44.27,569.01,187.25,47.55,,,,,,,,,
VIDEO_7172507378498260229,5.24,136.07,87.35,6.91,138.07,85.23,,,,,,,,,
VIDEO_7172555111879757062,180.87,88.89,136.24,135.55,90.69,156.6,87.81,78.35,183.47,0.98,11.11,134.3,112.07,15.85,113.66
VIDEO_7173695147639655686,354.75,118.57,175.19,557.11,128.07,151.24,1023.85,126.26,137.71,1017.1,86.78,166.96,1128.44,87.44,155.5
VIDEO_7173707401302920453,157.47,112.62,33.03,155.88,112.34,36.14,227.36,124.23,25.8,8.2,66.99,109.05,2.21,83.83,60.33
VIDEO_7174022295978003717,270.89,152.63,59.43,218.73,154.95,57.47,255.42,143.62,69.97,106.83,135.7,120.2,,,
VIDEO_7174339271141100806,175.03,13.82,145.23,177.76,11.33,133.29,,,,,,,,,
VIDEO_7174823379453644037,26.5,103.12,4.76,110.7,132.44,3.69,166.63,147.72,0.0,46.26,119.54,0.74,,,
VIDEO_7175115192966106374,301.68,122.75,27.41,389.07,128.42,26.15,,,,,,,,,
VIDEO_7175864609029491974,311.93,111.6,12.73,832.74,201.27,10.85,596.14,139.66,20.93,560.69,114.88,36.12,614.89,110.86,44.29
VIDEO_7175881254233967878,945.14,141.16,137.45,1003.29,141.16,137.68,,,,,,,,,
